Protein_Group	Genes	PTEN_sg_1.1_3_250nM Palbo_vs_PTEN_sg_1.1_3_Non Treated_logFC	PTEN_sg_1.1_3_250nM Palbo_vs_PTEN_sg_1.1_3_Non Treated_pval	Removed?	Contaminant?
A0A087WUL8	NBPF19	1.50027534920643	4.42347957420122e-18	No	No
A0A0G2JPF8;B7ZW38;O60812;P0DMR1	HNRNPCL4;HNRNPCL3;HNRNPCL1;HNRNPCL4	1.24688345252697	0.0002081183953109	No	No
A1A5D9	BICDL2	1.2275356814546	7.95356623879726e-19	No	No
A2A2Y4	FRMD3	1.04145120198861	0.0068939821231501	No	No
A4D0S4	LAMB4	1.74482445096581	5.7013269525138797e-11	No	No
A6NCS6	C2orf72	1.11190557705418	2.61241856323692e-17	No	No
A6NEE1	PLEKHD1	1.15204290565754	3.1592503272911e-09	No	No
A6NKN8	PCP4L1	1.52785526059357	0.0071240449411512	No	No
A6NMD0	IFITM10	1.24074334987267	8.08598199625426e-05	No	No
A8MSI8	LYRM9	1.27592050978954	5.01120331431583e-07	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	1.09739373027341	2.47935748443982e-07	No	No
O00534	VWA5A	1.00491255445817	9.83809313792832e-06	No	No
O00562	PITPNM1	1.13119589400135	5.08073387052528e-13	No	No
O00622	CCN1	1.54691603820448	1.48737012508432e-18	No	No
O00635	TRIM38	1.33228186342193	5.82709466808713e-07	No	No
O14807	MRAS	1.02707577081473	8.2834159193655e-11	No	No
O15232	MATN3	1.32039073247448	1.3837178017854298e-11	No	No
O15438	ABCC3	1.21109638099456	5.44577911245646e-10	No	No
O60299	LZTS3	1.11937236857027	3.57977113302848e-05	No	No
O60437	PPL	1.1529105344493	4.08603287953783e-37	No	No
O60443	GSDME	1.30429062614153	1.46102235814599e-12	No	No
O60879	DIAPH2	1.49897279718479	2.33525357540416e-05	No	No
O60890	OPHN1	1.03204521776349	2.46606267732626e-14	No	No
O60909	B4GALT2	1.1233969681192	0.0001483783074357	No	No
O75363	BCAS1	1.38014765033387	8.64984805082549e-22	No	No
O76062	TM7SF2	1.17556927649765	1.2919257798889601e-17	No	No
O95255	ABCC6	1.69770319324651	3.3402152269679904e-17	No	No
O95528	SLC2A10	1.0096073283133	3.04202999690432e-05	No	No
O95633	FSTL3	1.48796138907729	0.000774488159408	No	No
O95832	CLDN1	1.27357591124188	2.10818036739302e-16	No	No
P01033	TIMP1	1.36529949350461	4.16096627044831e-07	No	No
P04626	ERBB2	1.01328617238513	1.35159569389952e-32	No	No
P04798	CYP1A1	1.22026112821282	0.0018363439748682	No	No
P05981	HPN	1.41017676190937	5.59926191085133e-10	No	No
P07476	IVL	2.21562127047818	2.6153383305167e-35	No	No
P08294	SOD3	1.57925596636842	1.7996303642751402e-25	No	No
P08648	ITGA5	1.34380499082139	4.25471212827441e-22	No	No
P08842	STS	1.35814579495395	7.621924302701509e-11	No	No
P09529	INHBB	1.20357874156615	1.26208697713507e-08	No	No
P0DPF2	NBPF20	2.09231359614657	3.53485333615851e-08	No	No
P10176	COX8A	1.56118525398615	0.0002152314601647	No	No
P10909	CLU	1.6342733430099	7.41445025385785e-34	No	No
P12109	COL6A1	1.3072164634056	6.61335983376982e-06	No	No
P12273	PIP	2.6404504882113	2.11874381281164e-29	No	No
P14061	HSD17B1	2.16111688286702	9.41612643242665e-13	No	No
P15408	FOSL2	1.00081140836515	0.0002353045539588	No	No
P17600	SYN1	1.20431912224567	2.82344735671833e-15	No	No
P17735	TAT	1.56071230687074	1.89139541447992e-15	No	No
P17813	ENG	1.46274439026894	1.15189205148286e-19	No	No
P18564	ITGB6	1.2270367527692	3.89186956155447e-06	No	No
P19021	PAM	1.03732485387293	8.884242693067221e-19	No	No
P22531;P22532;P35325;P35326	SPRR2E;SPRR2D;SPRR2B;SPRR2A	2.77267380104541	0.0036890968758751	No	No
P24385	CCND1	1.32757975969661	8.59273679847498e-29	No	No
P24390	KDELR1	1.22193989677972	0.0067321181328215	No	No
P25311	AZGP1	1.20751434963199	2.67266914354845e-24	No	No
P25942	CD40	1.05062533739345	1.60245290318287e-06	No	No
