Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast  _Non Treated_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
A6NCS6	C2orf72	1.49692860711347	2.9463854963985e-22	No	No
O00712	NFIB	1.19782890066545	1.39847167119658e-21	No	No
O14810	CPLX1	1.18773583634028	0.0038107866972941	No	No
O14967	CLGN	2.27467749054342	4.59158054640109e-24	No	No
O15393	TMPRSS2	1.70825657776887	8.16344582975336e-17	No	No
O60259	KLK8	2.99533917606466	4.90790319978068e-06	No	No
O75326	SEMA7A	1.51220626726886	0.0013101530022267	No	No
P01876	IGHA1	1.59349529413431	4.67399118147186e-05	No	No
P06865	HEXA	1.4164192332164	2.91210272460889e-32	No	No
P08195	SLC3A2	1.65805983826056	1.60967193667184e-43	No	No
P08247	SYP	1.74668353686785	9.4081559374821e-13	No	No
P08913	ADRA2A	1.69775324651172	0.000235151436865	No	No
P10589	NR2F1	1.27926212583411	0.0014338200810712	No	No
P10909	CLU	1.17724312785361	1.03337270016979e-27	No	No
P12277	CKB	1.26954485093717	4.72507196169035e-08	No	No
P12429	ANXA3	1.04199488398026	9.53287661520667e-18	No	No
P14061	HSD17B1	3.34070950054711	2.3812526106160902e-19	No	No
P29966	MARCKS	1.61222786576641	0.000363242989281	No	No
P31513	FMO3	1.06829835747551	3.1237369986481e-05	No	No
P34741	SDC2	1.50891658508981	3.85656144388319e-29	No	No
P34925	RYK	1.18411367726626	0.0011672915259277	No	No
P35711	SOX5	1.07426067016804	0.0032807848444056	No	No
P36956	SREBF1	1.06361368717435	1.01469299127912e-17	No	No
P42892	ECE1	1.07992888389951	2.1183312571912697e-30	No	No
P43357	MAGEA3	3.25980264055478	2.90849746913877e-28	No	No
P43360	MAGEA6	2.30429081250543	9.55359771153913e-12	No	No
P43365	MAGEA12	3.61204791502581	7.30337465368708e-26	No	No
P47712	PLA2G4A	2.30964320792611	4.47671666352972e-20	No	No
P47895	ALDH1A3	1.99457091769004	3.932274367821861e-15	No	No
P49789	FHIT	1.28389454034869	2.0387754363141e-19	No	No
P52799	EFNB2	1.57753874703291	9.29440408386652e-06	No	No
P52803	EFNA5	1.02074307789679	3.69502919272982e-05	No	No
P55273	CDKN2D	1.72693744994249	0.0026631301897008	No	No
P57073	SOX8	1.08206205787221	0.0001688287199811	No	No
P78380	OLR1	2.61038591539255	1.47648821711671e-13	No	No
Q01650	SLC7A5	1.90553849029222	1.4208130939115199e-33	No	No
Q0VD83	APOBR	1.53270484730248	0.0001671991815618	No	No
Q13145	BAMBI	1.2892368392308	0.0010721278650137	No	No
Q13275	SEMA3F	1.56699054530774	8.784188710728919e-28	No	No
Q14721	KCNB1	1.51671673089743	1.51633868406027e-05	No	No
Q14934	NFATC4	1.14221421227455	2.3568556579085704e-09	No	No
Q16270	IGFBP7	2.72260223471589	1.09455480217003e-12	No	No
Q16799	RTN1	3.2412214346094	0.0026184060389709	No	No
