Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
A0A024R1R8;Q9Y2S6	hCG_2014768;TMA7	1.26711431598799	0.0002091903608882	No	No
A6NCS6	C2orf72	1.41616873637611	2.66471223353719e-21	No	No
A6NEE1	PLEKHD1	1.26029069748349	3.04826472780774e-10	No	No
B4DXR9;Q8TB69	ZNF732;ZNF519	1.30941705757884	0.005589021574636	No	No
H3BS89	TMEM178B	1.63055238996082	4.19436565605425e-06	No	No
O00712	NFIB	1.26585588034709	1.54615246146618e-22	No	No
O14967	CLGN	1.79402917452402	5.80984974909428e-20	No	No
O15229	KMO	1.18597154217077	3.9896097659981895e-18	No	No
O15393	TMPRSS2	1.72922082423901	5.25990534220007e-17	No	No
O60259	KLK8	2.07138319784009	0.0008249770514152	No	No
O60879	DIAPH2	1.14140627130415	0.0008105355007091	No	No
O76039	CDKL5	1.17775753328995	0.0018019418210835	No	No
O94910	ADGRL1	1.17498313775246	1.49841010822437e-28	No	No
O94991	SLITRK5	1.86054016569174	1.55805392206067e-07	No	No
O95263	PDE8B	1.30094995701066	0.0001530342644089	No	No
P01876	IGHA1	3.24856525396901	6.4774872998570595e-12	No	No
P06865	HEXA	1.40911047244056	3.6467715446863e-32	No	No
P08247	SYP	1.96769784044162	2.0165245492908802e-14	No	No
P10589	NR2F1	1.74192995371121	3.13874214573246e-05	No	No
P12277	CKB	1.59063834086956	1.67674599307508e-10	No	No
P14061	HSD17B1	2.35446476640635	6.09735532518059e-14	No	No
P15884	TCF4	4.55582868649325	1.19279024142892e-36	No	No
P20336	RAB3A	1.11665315509161	8.01367702417649e-17	No	No
P29966	MARCKS	1.88574120376854	4.57599007872292e-05	No	No
P31513	FMO3	1.04456529460793	4.36900336475546e-05	No	No
P34741	SDC2	1.44280298765226	2.60443149010345e-28	No	No
P34925	RYK	1.27900669224173	0.0005091594701372	No	No
P35711	SOX5	1.23706820982251	0.0008452637114927	No	No
P43357	MAGEA3	3.2360695776872	3.9669407139478398e-28	No	No
P43360	MAGEA6	2.28055774963785	1.2965166657241099e-11	No	No
P43365	MAGEA12	3.58831485215823	9.61057661621178e-26	No	No
P47712	PLA2G4A	3.17023139497617	1.31797607806639e-25	No	No
P47895	ALDH1A3	1.75685525369355	2.6121189375807797e-13	No	No
P49789	FHIT	1.43158100658886	2.98737724596428e-21	No	No
P61586	RHOA	1.12075677179108	4.49496898102694e-06	No	No
P62324	BTG1	1.40396915306592	3.24962101161005e-11	No	No
P78380	OLR1	2.77209487945047	2.05709338931773e-14	No	No
Q04756	HGFAC	1.63398139429872	9.49889299956515e-17	No	No
Q0IIM8	TBC1D8B	1.17963350902906	1.94155244197138e-10	No	No
Q0VD83	APOBR	1.44225097413848	0.0003554046378455	No	No
Q13018	PLA2R1	1.25640903469945	0.0002507092526499	No	No
Q13118	KLF10	1.38488938800594	0.0014145069778607	No	No
Q13275	SEMA3F	1.41107199137728	7.18133747501097e-26	No	No
Q14469	HES1	1.12584914350947	1.9495362776897e-07	No	No
Q14721	KCNB1	1.34837164718609	8.76927936713024e-05	No	No
Q14934	NFATC4	1.2643682054348	1.608699388911e-10	No	No
Q15139	PRKD1	1.24430784913165	0.0006375810141018	No	No
Q15735	INPP5J	1.09314907972728	4.1411160963148305e-25	No	No
Q16270	IGFBP7	2.71815284656806	1.15151139014624e-12	No	No
Q16875	PFKFB3	1.31319535290029	3.75882431639633e-35	No	No
Q1HG44	DUOXA2	1.14107107144356	0.0026333335111242	No	No
Q1RMZ1	BMT2	1.6169426620976	0.0012502633601245	No	No
Q2Y0W8	SLC4A8	1.56018425846811	0.005007037930506	No	No
Q4KWH8	PLCH1	1.09479017025076	8.49567160357319e-23	No	No
Q5D862	FLG2	1.67688234036076	0.0033880339301921	No	No
Q6MZZ7	CAPN13	1.83311358114708	0.0004997010754574	No	No
Q6NSJ2	PHLDB3	1.48327488438346	2.70314823735877e-18	No	No
Q6NUP7	PPP4R4	1.3021763854244	5.57331032199905e-24	No	No
Q6NZY7	CDC42EP5	1.50711841994468	1.63169621179889e-05	No	No
Q6UWP8	SBSN	1.70242616898313	0.0001015268288916	No	No
Q6WRX3	ZYG11A	1.24174064523376	0.0051413296927205	No	No
Q7Z4K8	TRIM46	1.21721569020572	8.96337283056225e-05	No	No
Q7Z6K5	ARPIN	1.2116481359725	2.5497006980458e-26	No	No
Q7Z7D3	VTCN1	1.58920431616598	5.06997890120294e-25	No	No
Q86Y38	XYLT1	1.00506803946999	0.002037874932385	No	No
Q86YQ8	CPNE8	1.47095002026703	6.79091328760258e-11	No	No
Q8N165	PDIK1L	1.36824654505865	3.81421347311866e-05	No	No
Q8N8I0	SAMD12	1.8602387863356	7.04476134058242e-05	No	No
Q8NFX7	STXBP6	1.10118891287294	0.0046706079135928	No	No
Q8WX94	NLRP7	1.29436670900875	0.0074086205399056	No	No
Q92478	CLEC2B	3.13756546089922	5.43586152513704e-07	No	No
Q92619	ARHGAP45	1.39863542550915	1.0740791657363601e-20	No	No
Q96GT9	XAGE2	2.03132265395196	0.0005126482577917	No	No
Q96GY0	ZC2HC1A	1.84616974732898	1.11016322332552e-20	No	No
Q96MP8	KCTD7	1.10753011707373	0.0001211945654791	No	No
Q99541	PLIN2	1.33726536022918	2.42944939457897e-28	No	No
Q99576	TSC22D3	1.46801560052073	1.23194349287169e-09	No	No
Q99715	COL12A1	1.61984846817634	5.2648546610162294e-36	No	No
Q9BZQ4	NMNAT2	1.82637221344959	0.0005953153368119	No	No
Q9C026	TRIM9	2.03829663911036	3.2693258317395304e-15	No	No
Q9GZV5	WWTR1	1.04431608379253	1.67451954879847e-09	No	No
Q9H4F8	SMOC1	2.09950579918445	7.24378193878207e-07	No	No
Q9H4M3	FBXO44	1.37074601089863	0.001292574873568	No	No
Q9H7J1	PPP1R3E	1.75938178464577	2.3421446813769e-05	No	No
Q9HCE9	ANO8	1.2865970789273	1.11055606892101e-05	No	No
Q9HCK4	ROBO2	1.55045467088233	4.65292537223371e-27	No	No
Q9NQZ6	ZC4H2	1.38861175159509	8.06947812270999e-05	No	No
Q9NS87	KIF15	1.12390693563503	1.67009775695002e-28	No	No
Q9NX95	SYBU	1.05164816592952	0.0019920132859685	No	No
Q9P212	PLCE1	1.27057520340478	1.6380566110778399e-12	No	No
Q9P232	CNTN3	1.72899889979686	3.19651493606532e-05	No	No
Q9P241	ATP10D	1.40044423979702	0.0090097541127577	No	No
Q9UJC5	SH3BGRL2	1.76754955660416	6.36170876662351e-10	No	No
Q9UK33	ZNF580	1.04601491746304	0.0003216813555974	No	No
Q9UKI2	CDC42EP3	1.29849537446876	0.0022576889413671	No	No
Q9ULD0	OGDHL	1.07376781482474	3.35970708987172e-19	No	No
Q9ULD9	ZNF608	1.49025127127486	5.293100135772199e-12	No	No
Q9UPY5	SLC7A11	1.3165431568812	0.0050068743271562	No	No
Q9Y3B6	EMC9	1.00934762820112	1.21086282497441e-07	No	No
Q9Y5L2	HILPDA	1.16149507298109	5.10551841648243e-05	No	No
Q9Y6M1	IGF2BP2	1.26182404117771	3.39352882067457e-30	No	No
Q9Y6R9	CCDC61	1.05318739815855	2.69068595320051e-06	No	No
A0A087WUL8	NBPF19	-1.05703998023463	7.41026560872154e-13	No	No
A0A3B3IRV3	MCTS2P	-1.32299436625903	1.75773516310836e-06	No	No
A1A4S6	ARHGAP10	-1.11379299895268	1.03608755065661e-08	No	No
A1L170	C1orf226	-2.07595847762192	1.83584584527948e-26	No	No
A1X283	SH3PXD2B	-1.1393558533862	4.6009863756656705e-15	No	No
A6ND36	FAM83G	-1.01719188052947	1.67115329578169e-08	No	No
A6NDB9	PALM3	-1.58041942133892	7.88801888941336e-13	No	No
A6NMD0	IFITM10	-1.10618219686967	0.0003545606617686	No	No
A6NMX2	EIF4E1B	-2.32402707880374	8.72010748075768e-17	No	No
B2RUZ4	SMIM1	-1.38986498722927	4.18654221867207e-17	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	-2.0694228445867	5.8965317380531805e-15	No	No
O00391	QSOX1	-1.03981247464072	4.14404988222114e-24	No	No
O00499	BIN1	-1.23930548237405	4.61369900288012e-05	No	No
O00515	LAD1	-1.64017334938165	1.48894408343035e-36	No	No
O00526	UPK2	-1.4150019297784	6.05082879010199e-05	No	No
O00562	PITPNM1	-1.25205888439318	1.88370922364079e-14	No	No
O00592	PODXL	-1.36959041328325	2.98930509091757e-18	No	No
O00635	TRIM38	-1.23375372868953	2.52020931275549e-06	No	No
O14495	PLPP3	-1.18114858747334	6.3169225729098e-08	No	No
O14531	DPYSL4	-1.70540583277936	1.2012513724468e-21	No	No
O14639	ABLIM1	-1.28975590565694	3.0399351945395204e-31	No	No
O14684	PTGES	-1.74628700587803	4.63879033149369e-20	No	No
O14798	TNFRSF10C	-1.24318324323489	0.0001280878334866	No	No
O14975	SLC27A2	-1.38369447667013	1.66727873518482e-07	No	No
O15231	ZNF185	-1.00531451541385	4.13866612708622e-36	No	No
O15327	INPP4B	-1.02094045839479	1.05828760767489e-26	No	No
O15481	MAGEB4	-1.08697051708332	9.81615912042346e-13	No	No
O43272	PRODH	-1.63881883373284	1.03602072856771e-40	No	No
O43295	SRGAP3	-1.21123977832996	2.21746299034596e-14	No	No
O43731	KDELR3	-1.46010857728892	1.57079367900376e-16	No	No
O43795	MYO1B	-2.16981470892538	1.84991194999409e-41	No	No
O60488	ACSL4	-1.19207252515995	1.09251329782288e-05	No	No
O60613	SELENOF	-1.52565406132762	3.73615270111369e-11	No	No
