Protein_Group	Genes	T47D _250nM Palbo_vs_T47D _Non Treated_logFC	T47D _250nM Palbo_vs_T47D _Non Treated_pval	Removed?	Contaminant?
A0A087WUL8	NBPF19	1.01944988681537	2.27029414819157e-12	No	No
A0A0G2JMH6;P01903	HLA-DRA	1.48032079777999	2.29040115112679e-06	No	No
A2A2Y4	FRMD3	1.46911701284656	0.0002356615151716	No	No
A6NCQ9	RNF222	2.80956737586957	1.24465144064901e-06	No	No
A6NMD0	IFITM10	1.55811678867168	2.04873736365465e-06	No	No
O00534	VWA5A	1.59421118523794	4.63571588705923e-10	No	No
O00622	CCN1	1.05085270667192	9.2927353598398e-13	No	No
O15232	MATN3	1.37744711795465	3.92659792325545e-12	No	No
O15438	ABCC3	1.5421782009769	4.80958173470877e-13	No	No
O15534	PER1	1.05085269939932	2.73172568666095e-06	No	No
O60259	KLK8	2.10025027867191	0.0007105913476858	No	No
O60299	LZTS3	1.47933179317704	2.48130889677157e-07	No	No
O60443	GSDME	1.05074236376969	7.11448031028413e-10	No	No
O75363	BCAS1	1.27229095080978	2.11552617468401e-20	No	No
O75365	PTP4A3	1.35582195374496	0.0078136848682481	No	No
O95255	ABCC6	1.1488888173241	1.3374080986626e-11	No	No
O95259	KCNH1	1.06457970390424	0.0026904946199614	No	No
O95273	CCNDBP1	1.06558310328922	2.5536413837094302e-19	No	No
O95361	TRIM16	1.02992559261447	1.79873746209349e-06	No	No
P01009	SERPINA1	1.03570872648215	1.51033288822431e-22	No	No
P01033	TIMP1	1.23416326311051	2.88126333657983e-06	No	No
P05412	JUN	1.20220521399182	1.19332610759623e-11	No	No
P07476	IVL	1.67648863910835	4.914189269859169e-30	No	No
P08294	SOD3	1.31576003482294	3.07585792209696e-22	No	No
P10909	CLU	1.20153575350222	4.3482323978999e-28	No	No
P12273	PIP	1.71979843129482	1.0931777419510401e-21	No	No
P14061	HSD17B1	1.93234271763281	2.7044310501084396e-11	No	No
P15408	FOSL2	1.3144266430819	3.94892188267153e-06	No	No
P17019	ZNF708	1.19611835318665	0.0027612272401742	No	No
P17600	SYN1	1.26846647218652	4.646629425840879e-16	No	No
P17735	TAT	1.4834179007166	1.0696243303942601e-14	No	No
P24385	CCND1	1.63397064004832	1.10479890579932e-32	No	No
P24593	IGFBP5	1.38166679727183	1.9582306354155701e-25	No	No
P24864	CCNE1	1.28347999831905	6.418307059221879e-11	No	No
P25311	AZGP1	1.12306389971756	5.1133075406092804e-23	No	No
P28067	HLA-DMA	1.09421359448593	0.0006463490958363	No	No
P32004	L1CAM	1.09370345335066	6.61762166205449e-26	No	No
P42330	AKR1C3	1.22800490876546	2.41033002355342e-08	No	No
P42772	CDKN2B	1.10322382833275	7.340337096171731e-09	No	No
P43357	MAGEA3	2.04318350159706	5.42797076913753e-20	No	No
P46821	MAP1B	1.01297587964188	2.5706586352821e-09	No	No
P50461	CSRP3	1.98148186473107	0.0001944801900244	No	No
P51884	LUM	1.29735317953265	2.67492840462988e-06	No	No
P52895	AKR1C2	1.28016437263168	0.0001143050543713	No	No
P54868	HMGCS2	1.19703744922868	1.0392067802587201e-20	No	No
P55040	GEM	1.23735978995949	0.0012791015355624	No	No
P55809	OXCT1	1.16664587893348	2.77716930824445e-06	No	No
P61587	RND3	1.16169702526737	2.63968039620058e-11	No	No
Q00887	PSG9	1.58868892146216	1.5328461286881e-07	No	No
Q13018	PLA2R1	1.19709171424973	0.000447008079843	No	No
Q14393	GAS6	1.14476233258544	2.17542525300367e-08	No	No
Q14764	MVP	1.3599154913165	3.1359490855804997e-34	No	No
Q3SY77	UGT3A2	2.00729810498676	1.47445080862256e-05	No	No
Q5MY95	ENTPD8	1.0085729317284	0.0022188156623545	No	No
Q5VWT5	FYB2	1.40795704834941	1.09191186911064e-05	No	No
Q6NVU6	UFSP1	1.30023042987271	0.0069771864185126	No	No
Q6UWH4	GASK1B	1.47026931462085	0.0003186352700317	No	No
Q6UWH6	TEX261	1.74334366149971	0.0054186123979737	No	No
Q6UXK5	LRRN1	1.18755952053664	7.1280273883343e-05	No	No
Q71U36	TUBA1A	1.39286749655835	4.82173316667972e-05	No	No
Q7L311	ARMCX2	1.08060541846195	4.6169538076429604e-15	No	No
Q7Z7D3	VTCN1	1.32445251147153	8.231091064989549e-22	No	No
Q86VV4	RANBP3L	1.53018165557959	2.72421706486902e-06	No	No
Q8IVI9	NOSTRIN	1.187161834602	4.46987725710393e-05	No	No
Q8IXV7	KLHDC8B	1.17738232283243	6.47822524849017e-07	No	No
Q8IZJ3	CPAMD8	1.25904726502772	1.3994168889248502e-15	No	No
Q8N370	SLC43A2	1.25991616597898	1.83718483913662e-07	No	No
Q8N3V7	SYNPO	1.61576584155723	0.0001486284666243	No	No
Q8N6N6	NATD1	1.01206744398094	3.54117091673246e-08	No	No
