Protein_Group	Genes	T47D_A_Non Treated_vs_T47D _Non Treated_logFC	T47D_A_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
A0A0U1RRL7	MMP24OS	1.16969959671993	4.2488254025273095e-11	No	No
A1A5C7	SLC22A23	1.4152899207305	1.28036868743556e-24	No	No
A1L170	C1orf226	1.06292517678609	3.1929230333464904e-15	No	No
A4D161	FAM221A	1.10264230828303	0.000230295424255	No	No
A4D1S0	KLRG2	1.01543331810107	1.82371845270226e-23	No	No
A8MTY0	ZNF724	1.50328039668227	6.10899882663006e-05	No	No
O00499	BIN1	1.11867905492435	0.0001875145915919	No	No
O00534	VWA5A	1.11850648856972	1.47501419879946e-06	No	No
O00622	CCN1	1.36049258526925	1.6331661143703799e-16	No	No
O14879	IFIT3	2.08105949431555	2.9912792351254303e-10	No	No
O15162	PLSCR1	1.04246275174603	3.35016387764633e-12	No	No
O15393	TMPRSS2	1.28324652474977	1.20862039669095e-12	No	No
O15481	MAGEB4	1.8617926320165	4.73376331228961e-21	No	No
O60299	LZTS3	1.91906895008668	5.19037728656212e-10	No	No
O60701	UGDH	1.32385215423946	8.54840384021584e-37	No	No
O75052	NOS1AP	1.03469348165167	6.17886656417995e-19	No	No
O75452	RDH16	1.31182270465381	8.51630837510844e-13	No	No
O75907	DGAT1	1.21997921764978	1.5023229019615398e-22	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	2.07052244186102	7.66968186880334e-25	No	No
O95136	S1PR2	1.04340603720154	0.0041527000118175	No	No
O95263	PDE8B	1.23336730842079	0.0002993709536513	No	No
O95340	PAPSS2	1.2988999876026	1.15170475462768e-27	No	No
O95786	DDX58	1.35562008826216	7.59020763384078e-32	No	No
O95864	FADS2	1.7004382653198	7.17082650633985e-16	No	No
O96017	CHEK2	1.01907794038927	2.83830031667964e-24	No	No
P00747	PLG	1.80987084336427	3.80990119136718e-05	No	No
P00973	OAS1	2.20088078149197	3.5055721405826205e-09	No	No
P05161	ISG15	3.10649183040888	8.67265746594492e-33	No	No
