Protein_Group	Genes	T47D_B_250nM Palbo_vs_T47D_B_Non Treated_logFC	T47D_B_250nM Palbo_vs_T47D_B_Non Treated_pval	Removed?	Contaminant?
A0A1B0GV96	LOC105371267	1.50439333989866	1.40694269208514e-08	No	No
A1Z1Q3	MACROD2	1.60072463506882	0.0009569688963622	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	1.6542904399052	7.51224856046323e-12	No	No
O43286	B4GALT5	1.2771785818777	2.31055285298741e-05	No	No
O95751	LDOC1	1.13337739479702	0.0089238251599554	No	No
P04155	TFF1	1.16137265119509	0.0001364541970991	No	No
P05164	MPO	1.80912547160553	1.63749168358773e-05	No	No
P05981	HPN	1.07900244077087	3.06996557059305e-07	No	No
P10909	CLU	1.05385962205527	1.0775690142821101e-25	No	No
P12273	PIP	1.45021761277532	8.03911220770542e-19	No	No
P17735	TAT	1.21610153866497	5.98883114180384e-12	No	No
P17813	ENG	1.03174469092286	3.1761761149942e-14	No	No
P24385	CCND1	1.61015607125155	2.09402434058034e-32	No	No
P28067	HLA-DMA	1.08558897399639	0.0007049446197706	No	No
P31512	FMO4	1.11367406058322	1.3281184875146e-11	No	No
P31997	CEACAM8	1.11788867432119	0.0001456118922525	No	No
P49662	CASP4	1.26170097460118	4.66236236804051e-09	No	No
P52799	EFNB2	1.07118155727334	0.00146049315413	No	No
P54108	CRISP3	1.44182336236157	5.99519237851631e-07	No	No
P61601	NCALD	1.02736094235749	1.26671391714932e-06	No	No
P63316	TNNC1	2.72633393263308	0.0021212896144665	No	No
Q13751	LAMB3	1.03616681113157	0.00315042777197	No	No
Q14393	GAS6	1.03214869632688	2.14880344537959e-07	No	No
Q17RB0	RTL8B	1.35701182238791	0.005785540959007	No	No
Q3B8N2;Q6DKI2	LGALS9B;LGALS9C	1.18385981710198	4.773044351031631e-09	No	No
Q5RL73	RBM48	1.19706753331661	0.0028906188692093	No	No
Q5VWT5	FYB2	1.21461264395098	0.0001004155008515	No	No
Q71U36	TUBA1A	1.11222189116447	0.0008161813490543	No	No
Q7L311	ARMCX2	1.2125649904198	8.14519183321192e-17	No	No
Q86WV1	SKAP1	2.68098892597312	0.0001257310795908	No	No
Q8IVS8	GLYCTK	1.01017067150846	0.0062841205279548	No	No
Q8N5R6	CCDC33	1.23539681785173	0.0001597645232548	No	No
Q8N8I0	SAMD12	1.90642321756167	4.9584985902308e-05	No	No
Q8NDB6	FAM156B	1.41433825431525	0.0006548901261	No	No
Q8TCB0	IFI44	1.30686470714702	0.0014419754725624	No	No
Q8WWY8	LIPH	1.21081011000741	8.422538753662851e-09	No	No
Q8WXU2	DNAAF4	1.55352718102395	0.0016237030960993	No	No
Q92561	PHYHIP	1.16728838595678	4.04262661775267e-06	No	No
Q969W9	PMEPA1	1.52896913351272	8.73203530625068e-06	No	No
Q96CX6	LRRC58	2.46786377215582	2.3631023533304498e-11	No	No
Q96FE7	PIK3IP1	1.13292560053407	0.0099780996522894	No	No
Q96FL8	SLC47A1	3.21969966142247	4.97486133776684e-16	No	No
Q96L34	MARK4	1.41081803124181	0.0091758189998212	No	No
Q99489	DDO	1.03703142619755	4.78125376543728e-05	No	No
Q9BXI9	C1QTNF6	1.46492472234136	1.8572721570543402e-09	No	No
Q9H5J4	ELOVL6	2.10540504778771	1.41877696705921e-05	No	No
Q9HB63	NTN4	2.09046013899467	1.62615517991841e-05	No	No
Q9NRN5	OLFML3	1.15152376677166	4.49768933582693e-26	No	No
Q9NY57	STK32B	3.75850028622487	2.97443128563157e-37	No	No
Q9NZU0	FLRT3	1.08286005191982	0.0001877532993119	No	No
Q9P232	CNTN3	1.11903462889579	0.0045131374739346	No	No
Q9P291	ARMCX1	1.07877184236999	5.86811294346258e-09	No	No
Q9UHI5	SLC7A8	1.01362859715669	7.17832625944786e-08	No	No
Q9UIY3	RWDD2A	1.3012047532789	0.0008251919433388	No	No
Q9UKB3	DNAJC12	1.60397206120674	4.159771564576e-06	No	No
Q9UN72	PCDHA7	1.0878169986468	2.85991840833571e-08	No	No
A0AVK6	E2F8	-1.06338914792072	0.0012959040329193	No	No
O00458	IFRD1	-2.05569795401913	2.05184402678062e-08	No	No
O15297	PPM1D	-1.00099699718479	0.0004124997918396	No	No
O43248	HOXC11	-1.28030944170082	5.61769705964796e-06	No	No
O60356	NUPR1	-1.03836250326159	0.0069690603511808	No	No
P02795	MT2A	-1.29930641148436	0.0013668920517582	No	No
P04818	TYMS	-1.15411049201314	2.69823455501928e-09	No	No
P16403	H1-2	-1.03072106502078	1.46941213882121e-08	No	No
P17676	CEBPB	-1.24461010284051	1.8458247998326e-21	No	No
P20248	CCNA2	-1.10900115568503	4.25709383112434e-05	No	No
P31350	RRM2	-1.06206521848901	2.35316137565305e-24	No	No
P35638	DDIT3	-1.59256842547713	2.8898992693061e-10	No	No
P54764	EPHA4	-1.15695369317028	8.603035410420821e-14	No	No
P58005	SESN3	-1.60116568166311	1.81497700077527e-05	No	No
Q01664	TFAP4	-1.31380512159821	0.0001300891955008	No	No
Q12778	FOXO1	-1.32089474105122	0.0008613785335476	No	No
Q12815	TROAP	-1.00435714313424	6.19007726278247e-07	No	No
Q14807	KIF22	-1.18146504811491	2.96824270436471e-21	No	No
Q3YBR2	TBRG1	-1.59922286312838	0.0013461226695603	No	No
Q5FBB7	SGO1	-1.03653359000077	7.48906588779317e-08	No	No
Q69YI7	NAIF1	-1.11248329730284	0.0033559768556164	No	No
Q6PCB8	EMB	-3.16153533097099	3.53393924081185e-13	No	No
Q7Z419	RNF144B	-1.17133586189165	0.004169387548515	No	No
Q8IYW5	RNF168	-1.03434627631321	4.7113810999689394e-12	No	No
Q8NEK5	ZNF548	-1.19023237625194	0.0016808146545093	No	No
Q92837	FRAT1	-1.22666027111889	0.0065405638636033	No	No
Q96CX2	KCTD12	-1.18663874217876	0.0001725566288544	No	No
Q96DA2	RAB39B	-1.61416894541783	2.67493307645778e-07	No	No
Q96FF9	CDCA5	-1.03558472723583	2.4173032522696e-11	No	No
Q96N21	TEPSIN	-1.1011484163996	3.6510251847322e-05	No	No
Q96RU7	TRIB3	-1.74975066320535	4.67118089788005e-07	No	No
Q9H2E6	SEMA6A	-2.36994482054624	1.42148527246155e-06	No	No
Q9H6X2	ANTXR1	-1.7311170717041	5.63994082322217e-06	No	No
Q9H967	WDR76	-1.03971160453274	5.96132550380264e-17	No	No
Q9HB96	FANCE	-1.04276948999604	7.60299156908183e-05	No	No
Q9NVV9	THAP1	-1.15881085328012	0.0084494715897279	No	No
Q9UKT4	FBXO5	-1.34971955978392	1.24461504476239e-08	No	No
Q9Y617	PSAT1	-1.31206549256316	2.13629456611176e-18	No	No
