Protein_Group	Genes	T47D_B_Non Treated_vs_T47D _Non Treated_logFC	T47D_B_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
A0A0G2JMH6;P01903	HLA-DRA	1.99881472349453	3.4531900323299e-09	No	No
A0A0K0K1A5	TRBV6-5	1.37005771466157	1.33362391518038e-05	No	No
A0A0U1RRL7	MMP24OS	1.105169426693	2.07337330235452e-10	No	No
A1A5C7	SLC22A23	1.90537838968974	4.6141020102188395e-30	No	No
A1L170	C1orf226	1.35833661630188	4.482999899310651e-19	No	No
A4D161	FAM221A	1.71521180743726	1.39739399348614e-07	No	No
A4D1S0	KLRG2	1.5164035158661	8.70259948568812e-31	No	No
A8MTW9		1.03714260288009	0.0092347895687848	No	No
A8MTY0	ZNF724	1.55800916747274	3.62207711578819e-05	No	No
A8MUP2	CSKMT	1.60644919039146	0.0041350909727923	No	No
B2RUZ4	SMIM1	1.1567478482777	2.48044250394159e-14	No	No
O00499	BIN1	2.01624663503021	3.12526494855422e-09	No	No
O00534	VWA5A	2.0643249481989	2.33112167081036e-13	No	No
O00592	PODXL	1.06438903729294	2.21987502810202e-14	No	No
O00622	CCN1	1.60572470841881	3.6403658805191603e-19	No	No
O14879	IFIT3	2.48782663518982	1.71250116749285e-12	No	No
O15121	DEGS1	1.02583152659819	6.21144858913494e-13	No	No
O15162	PLSCR1	1.20624616732866	3.27068448444005e-14	No	No
O15393	TMPRSS2	1.0601057703023	3.08979020336843e-10	No	No
O15481	MAGEB4	1.30020325449301	2.77213650143226e-15	No	No
O60299	LZTS3	1.85940935348127	1.1888556680913501e-09	No	No
O60488	ACSL4	1.45900608586253	2.54719715741148e-07	No	No
O60701	UGDH	1.30880979286594	1.4169288121441498e-36	No	No
O60779	SLC19A2	1.22287744786069	2.5074863219284698e-11	No	No
O75052	NOS1AP	1.38205711535468	6.86588833622757e-24	No	No
O75325	LRRN2	1.22650018079478	0.000339546328333	No	No
O75452	RDH16	2.19120371209528	1.0584679150397201e-20	No	No
O75907	DGAT1	1.42538250653939	2.61885679531119e-25	No	No
O76054	SEC14L2	1.51291628191202	8.03546503834423e-29	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	2.53260119501231	1.64058256562878e-28	No	No
O95136	S1PR2	1.05865674858859	0.0036777607219816	No	No
O95154	AKR7A3	1.57063970873706	8.17415396140224e-27	No	No
O95263	PDE8B	1.83430147243776	5.49951941428773e-07	No	No
O95340	PAPSS2	1.04844308743414	8.51457372863339e-24	No	No
O95786	DDX58	1.63317041587304	2.19676078476548e-35	No	No
O95864	FADS2	1.88898860795479	1.66099174016549e-17	No	No
P00747	PLG	1.86239035840364	2.46840898526666e-05	No	No
P00973	OAS1	2.34875696234832	6.60177108345435e-10	No	No
P02749	APOH	1.0710240325053	0.0056048330128275	No	No
P04155	TFF1	1.86308191432353	2.85098601373301e-08	No	No
P04350	TUBB4A	1.25333047531913	1.02337020872539e-06	No	No
P05090	APOD	1.36128247500588	5.47355595041665e-24	No	No
P05109	S100A8	2.53840263716597	5.83448443641128e-05	No	No
P05161	ISG15	3.45040371371639	8.74635231195932e-35	No	No
P06702	S100A9	2.19710440700295	0.00059176670324	No	No
P06865	HEXA	1.14560971315885	2.68980764779432e-28	No	No
P09913	IFIT2	2.39312091783951	2.1585670561521502e-09	No	No
P09914	IFIT1	2.5821391463507	4.25409523527965e-22	No	No
P0DTW1	GAGE1	3.08005778421905	2.73893236494517e-06	No	No
P10321	HLA-C	1.06147164764206	5.4762975005721e-08	No	No
P12821	ACE	1.0212483604774	2.14622187919689e-12	No	No
P15289	ARSA	1.28882114001237	2.0992736191554202e-21	No	No
P15391	CD19	1.39257976125358	0.0009816575716779	No	No
P16260	SLC25A16	1.1718346857666	1.05066577623933e-18	No	No
P16671	CD36	3.96690018573587	8.4380363507202e-18	No	No
P17019	ZNF708	1.62880155322509	8.62718548636888e-05	No	No
P17096	HMGA1	1.03645776348212	4.468985476954961e-19	No	No
P17600	SYN1	1.37499427835461	2.5880689003785998e-17	No	No
P18848	ATF4	1.1580887222007	2.96572158575266e-05	No	No
P20337	RAB3B	2.14476571576485	3.33620890340343e-07	No	No
P20591	MX1	4.14209615242681	4.35395842040309e-32	No	No
P21695	GPD1	1.69708691317795	6.50708737524003e-23	No	No
P21741	MDK	1.42559084781969	7.15793090513484e-07	No	No
P22455	FGFR4	1.0251779691922	0.0001172390947677	No	No
P22680	CYP7A1	1.60214339974147	0.0022533108019866	No	No
P24298	GPT	1.85324446342861	7.38393884535991e-08	No	No
P24593	IGFBP5	1.40018115483473	1.12639426968007e-25	No	No
P25942	CD40	1.75887032547536	5.48710533503839e-12	No	No
P29728	OAS2	3.24831110796364	1.02758676471095e-17	No	No
P29966	MARCKS	2.72269746788979	5.24541887081223e-08	No	No
P31513	FMO3	2.62419864283373	7.0912279669894e-15	No	No
P31997	CEACAM8	1.02091110178502	0.0004455939558247	No	No
P33908	MAN1A1	1.9044879532953	4.04296513277806e-35	No	No
P34741	SDC2	1.81848789362876	1.22020581054458e-32	No	No
P35638	DDIT3	1.50382894227872	1.31574422330961e-09	No	No
P35754	GLRX	1.13537592049552	3.98840239783693e-13	No	No
P42224	STAT1	1.35775593612049	9.56380567336028e-38	No	No
P42330	AKR1C3	1.18633318921945	5.29335378731154e-08	No	No
P43355	MAGEA1	1.26604978517763	3.7502270692801e-05	No	No
P43357	MAGEA3	3.55136629401597	7.48511181813782e-30	No	No
P43365	MAGEA12	2.726775361478	6.46420739574182e-21	No	No
P50135	HNMT	3.03779504910936	2.72778303927629e-15	No	No
P51161	FABP6	2.97854643020787	1.29995929758732e-09	No	No
P51513	NOVA1	2.25933176966492	1.48073747246366e-05	No	No
P51606	RENBP	2.58900951945939	4.9912615715583605e-09	No	No
P51654	GPC3	1.97407233292542	6.14824003673765e-19	No	No
P51884	LUM	1.51741365738996	1.19097237912475e-07	No	No
P52566	ARHGDIB	1.48725266065535	1.3267376987951499e-22	No	No
P52789	HK2	1.05860055395149	8.113826935311299e-29	No	No
P52803	EFNA5	1.71607442365377	9.190394101314801e-10	No	No
P52895	AKR1C2	1.71768999645385	9.45028016350631e-07	No	No
P53985	SLC16A1	1.62894624341137	4.04339318175054e-12	No	No
P54253	ATXN1	1.37406220005282	8.51129808334769e-20	No	No
P54289	CACNA2D1	1.81543435785294	4.81517316911199e-31	No	No
P54803	GALC	1.09378423201501	2.8014067409849896e-30	No	No
P54868	HMGCS2	5.03046154977189	1.1645777400726602e-47	No	No
P55809	OXCT1	3.22672824136774	5.2881613660613e-19	No	No
P55851	UCP2	1.012018790679	5.48504101579087e-07	No	No
P62324	BTG1	1.35512297096012	8.87049320749853e-11	No	No
P68366	TUBA4A	1.11029549375272	3.4028982335685604e-14	No	No
P69905	HBA2	1.04426580167835	0.00243117106479	No	No
P78337	PITX1	1.72659483853329	2.67001398300597e-16	No	No
P78395	PRAME	1.25316163066033	2.54255147740562e-19	No	No
P80365	HSD11B2	1.51028502367065	3.67482638024287e-15	No	No
Q00534	CDK6	2.12290389644212	1.88998382175885e-19	No	No
Q00978	IRF9	1.64978321839044	1.36274428709946e-13	No	No
Q00G26	PLIN5	1.13514510800229	2.22323692717934e-06	No	No
Q01628	IFITM3	1.6012713504757	1.03318705839745e-09	No	No
Q03167	TGFBR3	2.02726389016579	1.75080895923e-08	No	No
Q12791	KCNMA1	1.70758537615644	1.9024430160256202e-15	No	No
Q13066	GAGE2C	2.84835630536798	3.6659165987495404e-20	No	No
Q13069;Q13070	GAGE5;GAGE6	3.82403109094357	7.223423486629931e-20	No	No
Q13275	SEMA3F	1.02232173009306	3.1574143888609004e-20	No	No
