Protein_Group	Genes	T47D_C_Non Treated_vs_T47D _Non Treated_logFC	T47D_C_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
A0A0G2JMH6;P01903	HLA-DRA	1.37059670673725	8.83942922821754e-06	No	No
A0A0U1RRL7	MMP24OS	1.02984373823338	1.3517923351735101e-09	No	No
A1A5C7	SLC22A23	1.46957788702918	2.70532081942975e-25	No	No
A4D161	FAM221A	1.62440789254221	4.33522609055485e-07	No	No
A4D1S0	KLRG2	1.61818746104843	5.22025080102095e-32	No	No
A8MTY0	ZNF724	1.55619419806719	3.68574484274429e-05	No	No
O00499	BIN1	1.34159422544922	1.35826416169905e-05	No	No
O00534	VWA5A	1.47440309403173	3.4858004613035e-09	No	No
O00622	CCN1	1.19282813010212	1.54473723812157e-14	No	No
O00712	NFIB	1.30713002756841	4.2452255394047904e-23	No	No
O15393	TMPRSS2	1.50871280370112	6.284426297670891e-15	No	No
O15481	MAGEB4	1.40196668257352	1.98820583946632e-16	No	No
O43482	OIP5	1.00731259734144	4.30637809722413e-13	No	No
O60259	KLK8	2.491188325516	8.68696701987757e-05	No	No
O60299	LZTS3	1.99522161112253	1.81431746507394e-10	No	No
O60701	UGDH	1.28973725354094	2.7105327436570698e-36	No	No
O75452	RDH16	1.89324659562482	2.80596057151025e-18	No	No
O75907	DGAT1	1.27631296117004	2.43050669583441e-23	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	2.4443596551438	7.39770862230546e-28	No	No
O94985	CLSTN1	1.1124918748173	1.75425320495988e-10	No	No
O95136	S1PR2	1.06859477166879	0.0033962480415699	No	No
O95154	AKR7A3	1.19974984765363	5.129214996756729e-22	No	No
O95263	PDE8B	1.19165589622692	0.0004497607608807	No	No
O95631	NTN1	1.17486018376456	3.87301528340201e-07	No	No
O95864	FADS2	1.25423395121391	1.3322722821999198e-11	No	No
O96017	CHEK2	1.22175837820498	1.48128475667433e-27	No	No
P00747	PLG	1.50084778002348	0.0004490119899516	No	No
P01023	A2M	1.95197101949452	3.31106991610355e-21	No	No
P01040	CSTA	1.20847140352673	0.0085226531773682	No	No
P02647	APOA1	1.23818314866399	4.53776338156192e-06	No	No
P02749	APOH	1.61199070972932	6.9691369532968e-05	No	No
P04155	TFF1	1.3035861458024	2.62416712413325e-05	No	No
P04818	TYMS	1.09318781790405	1.02363702011239e-08	No	No
P05161	ISG15	1.66891482440683	1.76712407035068e-21	No	No
P0DTW1	GAGE1	4.34864641623971	1.42832179085157e-09	No	No
P10321	HLA-C	1.07520530724825	4.10021132284958e-08	No	No
P11926	ODC1	1.1431443790809	0.0017989753604196	No	No
P15391	CD19	1.29300464614084	0.0020427571961459	No	No
P15408	FOSL2	1.00020834933841	0.0002370768265814	No	No
P16260	SLC25A16	1.13621812967738	3.33260447228837e-18	No	No
P16671	CD36	3.10998106229898	4.2028898275744804e-14	No	No
P17019	ZNF708	1.25403279261866	0.0017857814761407	No	No
P19823	ITIH2	1.64870909163805	1.4883467758681898e-12	No	No
P20337	RAB3B	1.37727695326651	0.0003860411639188	No	No
P20591	MX1	2.46222970712206	1.37247152278531e-22	No	No
P20742	PZP	2.14031157409019	1.90118112992452e-06	No	No
P21695	GPD1	1.8065692426971	5.13732485970938e-24	No	No
P21741	MDK	2.73250671051816	1.9870214547808802e-14	No	No
P23142	FBLN1	1.93416143311938	7.73533501340688e-08	No	No
P24593	IGFBP5	1.30624926799188	1.9875534940680302e-24	No	No
P25942	CD40	1.19262626167739	1.24758565007352e-07	No	No
P29728	OAS2	2.11972858914336	1.5086257213495197e-11	No	No
P29966	MARCKS	3.01035481151121	4.9361238521665904e-09	No	No
P30305	CDC25B	1.4428283027519	1.62884176376113e-08	No	No
P31513	FMO3	2.10626401858345	7.83158867081673e-12	No	No
P33908	MAN1A1	1.61634045129155	5.27981943894179e-32	No	No
