Protein_Group	Genes	TP53_sg_1.2_3_250nM Palbo_vs_TP53_sg_1.2_3_Non Treated_logFC	TP53_sg_1.2_3_250nM Palbo_vs_TP53_sg_1.2_3_Non Treated_pval	Removed?	Contaminant?
A1A5D9	BICDL2	1.4984430251053	3.4182832799186e-22	No	No
A1Z1Q3	MACROD2	1.5334654065139	0.0014789223706321	No	No
A6NCS6	C2orf72	1.03199711833589	3.7871835134389197e-16	No	No
A6NMD0	IFITM10	1.73038153956875	2.62080956143909e-07	No	No
A8MTW9		1.43526352943816	0.0004789669248544	No	No
C9J069	AJM1	1.14476412278027	2.72667521660459e-15	No	No
H3BS89	TMEM178B	1.34695168751096	8.42909537650302e-05	No	No
O00534	VWA5A	1.69109870899379	9.25003299191229e-11	No	No
O00560	SDCBP	1.56369609185803	3.6709600455812196e-30	No	No
O00622	CCN1	1.42648735955844	2.9667832050763e-17	No	No
O14807	MRAS	1.20043488590321	8.12463765024424e-13	No	No
O15232	MATN3	1.41840536645901	1.6067119354862e-12	No	No
O15393	TMPRSS2	1.41227967398577	5.69513607416291e-14	No	No
O43325	LYRM1	1.04146086519638	5.47856205106921e-15	No	No
O60238	BNIP3L	1.13903049493732	1.3395685927991099e-18	No	No
O60243	HS6ST1	1.33745750970673	4.05064061485613e-05	No	No
O60262	GNG7	1.16422451787521	0.0045876892048657	No	No
O60443	GSDME	1.01312024495181	1.8310896186931e-09	No	No
O75056	SDC3	1.60968265489119	3.86880704794202e-05	No	No
O75325	LRRN2	1.25442111600639	0.000258400364278	No	No
O75363	BCAS1	1.38268925278885	8.04020946457445e-22	No	No
O75487	GPC4	1.06906911141508	2.5151392722423898e-11	No	No
O76039	CDKL5	1.42154473318717	0.0002291328519282	No	No
O76054	SEC14L2	1.26308159800968	1.6101343615917e-25	No	No
O95183	VAMP5	1.44545963038561	2.17693602578528e-06	No	No
O95255	ABCC6	1.36439611544912	6.39969747339787e-14	No	No
O95259	KCNH1	1.09888876288343	0.0020127591289923	No	No
O95294	RASAL1	1.53299817585106	1.42854046759451e-08	No	No
