Protein_Group	Genes	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
A1IGU5	ARHGEF37	1.0846037321422	8.58501557560608e-21	No	No
A4D1S0	KLRG2	2.5303796585522	1.4152715381750799e-40	No	No
A6NCQ9	RNF222	1.47788563221129	0.0051736944944379	No	No
H3BS89	TMEM178B	1.10359368187181	0.0009421307551012	No	No
O14613	CDC42EP2	1.94556097476711	7.72463917989034e-08	No	No
O14682	ENC1	1.52730748457348	7.03872372621864e-05	No	No
O14841	OPLAH	1.20241366911069	5.12490755325063e-32	No	No
O15197	EPHB6	1.38738703417171	7.70744678128297e-08	No	No
O43593	HR	1.19658360251261	4.43074230872308e-06	No	No
O43761	SYNGR3	1.62882847956754	5.9848229730422306e-15	No	No
O60437	PPL	1.06307129157598	1.4711335491754102e-35	No	No
O60504	SORBS3	1.06712861390553	5.25516637531964e-24	No	No
O60879	DIAPH2	1.45899787809045	3.52738118350607e-05	No	No
O75452	RDH16	1.04357648184395	6.26847138964404e-10	No	No
O75800	ZMYND10	1.08730408281779	1.6634290996135e-07	No	No
O76070	SNCG	1.14173399416398	8.55602711764378e-24	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	1.20295366247528	8.99937196633669e-16	No	No
O94889	KLHL18	1.23286797030958	1.1170423380293001e-10	No	No
O94921	CDK14	1.00198779419774	0.0038797085400116	No	No
O95361	TRIM16	1.23475052938838	4.28401641542782e-08	No	No
O95817	BAG3	1.23707282008335	3.63046305620499e-27	No	No
P00966	ASS1	1.34186927383506	1.31723877012846e-37	No	No
P01619	IGKV3-20	1.07340098683253	0.0093139996247507	No	No
P02511	CRYAB	2.61784327609118	1.730481400889e-30	No	No
P04216	THY1	4.34164545672317	5.40775085693684e-25	No	No
P05090	APOD	1.28259887789174	6.14318087869125e-23	No	No
P05091	ALDH2	1.24529881536502	4.2461101749091005e-24	No	No
P05109	S100A8	1.62178390134191	0.0068750519415908	No	No
P05362	ICAM1	1.12136211898786	1.67195357643819e-08	No	No
