Protein_Group	Genes	cMyc_OE_5_250nM Palbo_vs_cMyc_OE_5_Non Treated_logFC	cMyc_OE_5_250nM Palbo_vs_cMyc_OE_5_Non Treated_pval	Removed?	Contaminant?
A0A087WUL8	NBPF19	1.10834768968374	1.64704979854683e-13	No	No
A0A0G2JMH6;P01903	HLA-DRA	1.34004331057475	1.28242222604178e-05	No	No
A1A5D9	BICDL2	1.0698531790103	1.24580326416422e-16	No	No
A4D0S4	LAMB4	1.26684182589009	1.60969612725538e-07	No	No
A6NCQ9	RNF222	2.73316450482491	2.0871184200926e-06	No	No
O00534	VWA5A	1.16387807336611	6.85189419623568e-07	No	No
O14682	ENC1	1.08457299685725	0.0032611202258526	No	No
O15050	TRANK1	3.16398634202371	3.12624373161263e-10	No	No
O15232	MATN3	2.0885406839922	2.85107434197229e-18	No	No
O15481	MAGEB4	1.18724904366368	5.858726871341071e-14	No	No
O43286	B4GALT5	1.2828016588459	2.15769627312031e-05	No	No
O60243	HS6ST1	1.20912962892514	0.0001641091263951	No	No
O60268	KIAA0513	1.08547219372985	2.6918792311378802e-20	No	No
O60299	LZTS3	1.33754770444463	1.80788508986729e-06	No	No
O60443	GSDME	1.09721512144867	2.23072493769248e-10	No	No
O60674	JAK2	1.0610346390151	0.0001191807576511	No	No
O75363	BCAS1	1.98867545295242	2.47082193154422e-28	No	No
O95255	ABCC6	1.25443234587068	9.36327665881443e-13	No	No
O95259	KCNH1	1.03628372409077	0.0034061624809016	No	No
O95466	FMNL1	1.14038234598942	0.0029563669779	No	No
O95633	FSTL3	1.60583764936372	0.0003253180853424	No	No
O96024	B3GALT4	2.35850664002112	2.24279062473064e-05	No	No
P00973	OAS1	1.40561189697791	2.78531621844279e-05	No	No
P01009	SERPINA1	1.71868483562205	8.73982018633883e-32	No	No
P01033	TIMP1	2.09606967687731	9.23540626584194e-12	No	No
P02649	APOE	1.38716792016919	6.182690635039169e-36	No	No
P04083	ANXA1	1.47923781784669	1.0524148708118001e-20	No	No
P04350	TUBB4A	1.41104017938563	8.9434279314296e-08	No	No
P05981	HPN	1.05216060204274	5.12077082268458e-07	No	No
P07476	IVL	2.18331390815741	4.991890687785681e-35	No	No
P07948	LYN	1.07177861929379	2.2732337101444304e-15	No	No
P08185	SERPINA6	1.48283839609633	6.58585648977277e-23	No	No
P08294	SOD3	1.45182515707603	5.7580483618186405e-24	No	No
P08648	ITGA5	1.00449667238264	2.90095859306182e-17	No	No
P10909	CLU	1.3597419834612	2.19155832725037e-30	No	No
P11926	ODC1	1.37553803087295	0.0002375583477689	No	No
P12273	PIP	2.44079189421978	6.04228944823388e-28	No	No
P12429	ANXA3	1.30375732543369	1.81183563512676e-21	No	No
P15408	FOSL2	1.00835383481949	0.0002141950228515	No	No
P16035	TIMP2	1.46923445685785	1.93680104201676e-14	No	No
P17600	SYN1	1.56435900941289	2.1030914451862102e-19	No	No
P21695	GPD1	1.37809781402451	2.31752935145359e-19	No	No
P24385	CCND1	1.80213611398091	1.52068458449126e-34	No	No
P24593	IGFBP5	1.91064011744819	2.0423587324874203e-31	No	No
P24864	CCNE1	1.01974783525911	2.38489712421297e-08	No	No
P25311	AZGP1	1.32568425472051	5.61667628478479e-26	No	No
P28067	HLA-DMA	1.2794837234793	9.38754715351012e-05	No	No
P29400	COL4A5	1.20716857999328	7.31955710677486e-07	No	No
P32004	L1CAM	1.60571910610901	4.8654114278817e-33	No	No
P35475	IDUA	1.09278588648925	4.13691639860561e-15	No	No
P35544	FAU	1.21479511866405	0.0001147130256208	No	No
P39060	COL18A1	1.08147517916949	5.293097655739339e-12	No	No
P41002	CCNF	1.08001057728072	0.0010320267959718	No	No
P42772	CDKN2B	1.25822711593989	2.48842726124732e-10	No	No
P43005	SLC1A1	1.33280894361595	2.24399392366184e-05	No	No
P43115	PTGER3	1.0459675378525	8.4234046304995e-11	No	No
P49326	FMO5	1.14692057061575	3.32623295998415e-07	No	No
P51161	FABP6	1.36939547843431	0.0010930892463736	No	No
P51884	LUM	1.30861623447545	2.28439850732525e-06	No	No
P52895	AKR1C2	1.8750512619607	1.5925955394146e-07	No	No
P54108	CRISP3	1.27178736422801	6.11773546824296e-06	No	No
P54868	HMGCS2	1.24998511554814	1.89801590786604e-21	No	No
P80404	ABAT	1.0978772021733	1.02044614205295e-35	No	No
Q00534	CDK6	1.32913809842791	2.14253753841416e-12	No	No
Q00887	PSG9	1.00285605798947	0.0003038785744208	No	No
Q02413	DSG1	2.04889874095772	0.0020155127892095	No	No
Q04900	CD164	1.14336290117899	1.5962740618193401e-09	No	No
Q07654	TFF3	1.65422109212449	1.78084850623925e-15	No	No
Q12841	FSTL1	1.30366719740724	2.74391780093835e-14	No	No
Q14249	ENDOG	1.41536536654549	1.41134359199758e-29	No	No
Q14393	GAS6	1.10253160400103	5.13541303777834e-08	No	No
Q14749	GNMT	1.20371096768519	3.03750634095342e-16	No	No
Q14764	MVP	1.59640095090542	2.66964065453232e-37	No	No
Q15012	LAPTM4A	1.29040841786212	0.0005484241026394	No	No
Q15111	PLCL1	1.16897997693108	0.0002998944404942	No	No
Q15434	RBMS2	1.03689359242058	7.89040401682578e-22	No	No
Q15517	CDSN	2.12050897158562	0.0089594737219323	No	No
Q15746	MYLK	1.08191661846233	0.0001982537896795	No	No
Q30154	HLA-DRB5	2.66160295355345	6.908692333135249e-13	No	No
Q49AM1	MTERF2	1.20413890937883	1.91377917806925e-09	No	No
Q5EG05	CARD16	1.00809650171537	5.07158018321517e-06	No	No
Q5H9U9	DDX60L	2.57125457958175	3.4830588080405e-05	No	No
Q5T2W1	PDZK1	1.32181774470464	4.48160656124289e-28	No	No
Q5VUD6	DIPK1B	1.36110913287713	0.0011190473659919	No	No
Q5VUE5	C1orf53	1.9758373835848	1.76798522243819e-07	No	No
Q60I27	ALS2CL	1.1767114558588	3.38984038025387e-08	No	No
Q68CL5	TPGS2	1.54730427800062	0.002555880392411	No	No
Q6MZZ7	CAPN13	1.34752516860095	0.0083924899056175	No	No
Q6NZI2	CAVIN1	1.03289867498069	9.50801367493323e-06	No	No
Q6P5R6	RPL22L1	1.21591193532648	8.31689533454681e-11	No	No
Q6T4P5	PLPPR3	1.46975171949746	4.9588142810264e-09	No	No
Q6UXK5	LRRN1	1.18107816922007	7.69658073356512e-05	No	No
Q6ZN28	MACC1	1.23675533264714	9.36693077461413e-22	No	No
Q71U36	TUBA1A	1.34244038755429	8.15187655236671e-05	No	No
Q8IVF7	FMNL3	1.17742295415694	0.0005884712222826	No	No
Q8IVI9	NOSTRIN	1.37969237360189	3.93005507157567e-06	No	No
Q8IYK8	REM2	1.06918132689823	0.0036646342898528	No	No
Q8IYT8	ULK2	1.23158146664247	0.0009653649443011	No	No
Q8IZJ3	CPAMD8	1.37114265834915	6.85820442491761e-17	No	No
Q8N118	CYP4X1	1.71989157316625	3.36496864497715e-34	No	No
Q8N370	SLC43A2	1.12434585590946	1.7666018730589e-06	No	No
Q8N3J5	PPM1K	1.2149636555548	0.0002116837158024	No	No
Q8N4U5	TCP11L2	1.01572437065529	0.0063070593091008	No	No
Q8N5H3	FAM89B	1.04890372555751	0.004000521803364	No	No
Q8N6N6	NATD1	1.18970820287018	6.63089601360635e-10	No	No
Q8NBS3	SLC4A11	1.02038877554702	0.0053532065564127	No	No
Q8NCC5	SLC37A3	1.03732461262094	0.0046169493337254	No	No
Q8NDB6	FAM156B	1.05279092817998	0.0091174953374309	No	No
Q8NDH2	CCDC168	1.82119414029594	0.0005778345736469	No	No
Q8NFW9	MYRIP	1.8603601757969	2.13081975174348e-07	No	No
Q8NG27	PJA1	1.14733420422758	0.0001247229377889	No	No
Q8TB45	DEPTOR	1.56537605608576	5.608601377077549e-29	No	No
Q8WUP2	FBLIM1	1.31048367500528	2.7948395404489103e-17	No	No
Q8WWW0	RASSF5	1.13095998308881	2.87007272985215e-05	No	No
Q8WWY8	LIPH	1.1622539281727	2.22245869182988e-08	No	No
