Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
A0A024RBG1	NUDT4B	1.69317176624766	5.43785065106076e-13	No	No
A0AVK6	E2F8	1.22454318411985	0.0002701222454343	No	No
A4D2B0	MBLAC1	1.06075251045462	2.47847262659517e-07	No	No
A8MXV4	NUDT19	1.24822938401511	5.02464918001779e-19	No	No
O00458	IFRD1	2.06885518546341	1.76731246397665e-08	No	No
O14730	RIOK3	1.10660678437133	1.3035232097852602e-15	No	No
O14967	CLGN	2.45564651567137	1.9588890358997001e-25	No	No
O15151	MDM4	1.12556506326998	1.64691482525926e-05	No	No
O15318	POLR3G	1.32215655713022	4.99815355449474e-05	No	No
O60356	NUPR1	1.15628263440049	0.0029044301800859	No	No
O75460	ERN1	1.25320345253038	5.6029321621414396e-11	No	No
O76075	DFFB	1.17816965923724	1.1824190130294e-07	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	1.40835485024496	3.04243261135526e-18	No	No
O94885	SASH1	1.06243794652908	5.85447815041331e-26	No	No
O94889	KLHL18	1.65452103230116	1.30304422432658e-14	No	No
O95164	UBL3	1.08414800966187	8.63269619087749e-22	No	No
O95490	ADGRL2	1.51018142571202	4.36773018448963e-11	No	No
O95671	ASMTL	1.38037027922791	7.5997050108421e-29	No	No
P01591	JCHAIN	2.31721168929074	4.9684346742877506e-09	No	No
P01834	IGKC	2.10193057260801	0.0067509408135318	No	No
P01876	IGHA1	2.46311268484548	1.11828329878109e-08	No	No
P05091	ALDH2	1.94894057800568	2.42144018003188e-32	No	No
P08195	SLC3A2	1.49507138245604	1.65803361651275e-41	No	No
P08243	ASNS	1.22646103864478	4.0467886963867405e-25	No	No
P08842	STS	1.28159071381486	3.75327910912161e-10	No	No
P08913	ADRA2A	1.75663514436703	0.0001522381242226	No	No
P10589	NR2F1	4.0346992955595	5.0933312742168204e-14	No	No
P11532	DMD	1.10685690747017	2.91101941997052e-05	No	No
P13284	IFI30	1.12373505402735	1.2829867863479498e-11	No	No
P15514	AREG	1.57756794087698	0.0002409688071869	No	No
P15954	COX7C	1.08518857221081	9.04544356449168e-05	No	No
P17676	CEBPB	1.76043899630471	1.22073569994697e-27	No	No
P17735	TAT	1.16719456668243	2.0101635221612098e-11	No	No
P17861	XBP1	1.05498206948491	1.41723362335033e-12	No	No
P18847	ATF3	1.27970086813573	8.94128711181016e-06	No	No
P19526	FUT1	1.03505731259167	1.55733155287541e-11	No	No
P19623	SRM	1.01609551692098	9.542236507902589e-22	No	No
P21583	KITLG	1.50874888951394	4.44589473265318e-18	No	No
P22492	H1-6	1.45798473858858	3.16905612757221e-06	No	No
P22676	CALB2	2.10688633974491	2.50484767443363e-05	No	No
P24298	GPT	1.2045137167589	0.0001372756157298	No	No
P30405	PPIF	1.11822359037229	1.51266295345611e-06	No	No
P30550	GRPR	1.30363642965307	0.0094003201776959	No	No
P30825	SLC7A1	1.07642308288607	2.7730536270693898e-18	No	No
P33908	MAN1A1	1.07734637560628	1.56607775006744e-24	No	No
P35638	DDIT3	3.51746136792828	4.5845876548323295e-22	No	No
P41271	NBL1	1.03712078161379	4.63783915419843e-05	No	No
P48067	SLC6A9	1.25019360670192	7.560337060145241e-09	No	No
P49789	FHIT	1.04579171326321	3.84730010631495e-16	No	No
P50219	MNX1	1.05766400994207	6.31837489389777e-08	No	No
P51397	DAP	1.1339867982275	7.90891630556184e-14	No	No
P51788	CLCN2	1.05154265505351	8.72260281817869e-21	No	No
P51884	LUM	3.30353525891171	1.06954836973795e-17	No	No
P52789	HK2	1.51319322983068	1.47725932928393e-35	No	No
P52895	AKR1C2	1.07175919380301	0.0009494340021048	No	No
P53370	NUDT6	1.17348779303412	3.54369334943047e-11	No	No
P53985	SLC16A1	1.37644989723979	4.86117511458045e-10	No	No
P55822	SH3BGR	1.04826743249692	0.0017149939419542	No	No
P56159	GFRA1	1.74272649538003	1.86434967740764e-06	No	No
P58004	SESN2	1.71525660889475	7.542932622802769e-26	No	No
P58005	SESN3	1.94462615489834	5.65013779939544e-07	No	No
Q01650	SLC7A5	1.64447878185031	8.595700460851411e-31	No	No
Q12887	COX10	1.45792973815954	2.0164985954113597e-11	No	No
Q13066	GAGE2C	1.2998892488922	4.23917508387984e-09	No	No
Q13069;Q13070	GAGE5;GAGE6	1.27206028609352	4.83523928319065e-06	No	No
Q13268	DHRS2	2.08061671400351	5.76802096148336e-14	No	No
Q13740	ALCAM	1.30207896830988	7.56588597856174e-27	No	No
Q13884	SNTB1	1.90446331450634	3.24745234357151e-20	No	No
Q1HG44	DUOXA2	1.5915863269201	5.70790442405119e-05	No	No
Q2M3V2	SOWAHA	1.47215668279748	1.6984646882569e-25	No	No
Q2QL34	MPV17L	1.9297654463671	5.87355508254258e-06	No	No
Q3SY69	ALDH1L2	1.59393233603037	2.73065255762782e-18	No	No
Q53GG5	PDLIM3	2.23568540609484	3.50519262423184e-08	No	No
Q5D0E6	DALRD3	1.01391834675817	1.71390781473433e-09	No	No
Q5SRE7	PHYHD1	1.62575699840165	1.49001720600851e-08	No	No
Q5T481	RBM20	1.98014818921935	2.4126100491042904e-09	No	No
Q5T9A4	ATAD3B	2.34674189167387	1.3865529401130501e-14	No	No
Q69YU5	BRAWNIN	1.02885752917896	3.64778346557729e-16	No	No
Q6MZZ7	CAPN13	1.33810573012758	0.0088247668925537	No	No
Q6NVU6	UFSP1	1.39627236145783	0.0039711706375101	No	No
Q6NZY7	CDC42EP5	2.0615144566456	3.88682238248631e-08	No	No
Q6UWH6	TEX261	2.42532542936994	0.0001891491574246	No	No
Q6ZS11	RINL	1.51282006410313	0.0019043889398067	No	No
Q6ZUT6	CCDC9B	1.60254912710041	6.67138959197459e-09	No	No
Q7L0X0	TRIL	1.53052232305862	1.2287426869938e-17	No	No
Q7L945	ZNF627	1.08470363471792	0.0016943731380076	No	No
Q7Z591	AKNA	1.31643687612075	0.0004392472099784	No	No
Q7Z7K6	CENPV	3.77755892630979	2.2541206086849203e-19	No	No
Q86UK0	ABCA12	1.71358572226399	2.22197184128484e-21	No	No
Q86UX6	STK32C	1.06860970236082	4.83981156600284e-10	No	No
Q86V24	ADIPOR2	1.47030823102046	1.46494572954812e-05	No	No
Q8IW92	GLB1L2	1.06884322557592	8.80413707354172e-16	No	No
Q8N465	D2HGDH	1.01128129442705	2.87574979805077e-14	No	No
Q8N8J6	ZNF615	1.55117460128086	0.0008265995080855	No	No
Q8NEC7	GSTCD	1.08982583154608	3.62093613689368e-20	No	No
Q8NEK5	ZNF548	1.65460618307518	2.93552290472208e-05	No	No
