Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
A0A024RBG1	NUDT4B	2.45082794243977	1.4717998249012298e-18	No	No
A8MTY0	ZNF724	1.05196654334536	0.0033952945089075	No	No
A8MXV4	NUDT19	1.10445561230214	4.67094413958745e-17	No	No
C9JA33	PALM2AKAP2	1.21398559626843	8.163795262480449e-26	No	No
O00458	IFRD1	1.07404297639242	0.0009294056703102	No	No
O43248	HOXC11	1.26894108753144	6.54873283018264e-06	No	No
O75452	RDH16	1.66714271510019	2.85807039953067e-16	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	1.29879529516492	5.92445387929558e-17	No	No
O94889	KLHL18	1.82407065148939	4.54418082040658e-16	No	No
O95164	UBL3	1.64060104487891	3.05160046779988e-29	No	No
O95490	ADGRL2	1.34452367406126	1.0384432828112502e-09	No	No
O95816	BAG2	1.15914459374681	1.79132319236406e-13	No	No
P01040	CSTA	1.50095255133194	0.0013494592669019	No	No
P01591	JCHAIN	1.99367801388581	1.57149177000845e-07	No	No
P01876	IGHA1	4.45740678740885	1.98953523632431e-16	No	No
P05091	ALDH2	2.01258647196234	5.97021577472334e-33	No	No
P05109	S100A8	2.69584303030027	2.37798154744004e-05	No	No
P06702	S100A9	2.19361953548329	0.0006023266839811	No	No
P08195	SLC3A2	1.3220295521455	4.00736562827469e-39	No	No
P08842	STS	1.16694187514	4.221787033929751e-09	No	No
P08913	ADRA2A	1.79427474290894	0.0001149720511346	No	No
P0DMQ5	INAFM2	1.02597241467733	2.2396084530447e-07	No	No
P10589	NR2F1	4.1982525292982	1.36170424712162e-14	No	No
P10909	CLU	1.6862400986426	1.8793873473226598e-34	No	No
P10912	GHR	1.66437046425302	2.0200144633844603e-09	No	No
P11532	DMD	1.94822214467274	1.76070127394751e-10	No	No
P16671	CD36	1.0008263843771	0.0011652055144654	No	No
P17019	ZNF708	1.53781130331946	0.0001852854543843	No	No
P18847	ATF3	1.148889403428	4.82939133086947e-05	No	No
P21583	KITLG	1.34351245891054	2.98132843872203e-16	No	No
P22455	FGFR4	1.14683507914919	2.31787994085161e-05	No	No
P24298	GPT	1.47570315244887	6.37572121761616e-06	No	No
P30405	PPIF	1.07415650970171	3.16903385481406e-06	No	No
P30550	GRPR	1.60087792452025	0.0017257433691153	No	No
P35638	DDIT3	1.62361208321818	1.70703840163977e-10	No	No
P42330	AKR1C3	1.05265356966352	6.5766024123647e-07	No	No
P47712	PLA2G4A	1.85742131431474	1.49111522449381e-16	No	No
P50440	GATM	1.29170082306782	4.9481904963676e-21	No	No
P50461	CSRP3	1.39915343850905	0.0063274081091548	No	No
P51884	LUM	4.39438124670798	1.7930412964976e-22	No	No
