Protein_Group	Genes	SAX_vs_RAW_logFC	SAX_vs_RAW_pval	Removed?	Contaminant?
A0A075B5S2	Ighv7-1	1.5611087011258	0.002330996407604	No	No
A0A075B693	Ighv8-4	2.24927656006145	1.39634044179773e-05	No	No
A0A0A6YY83	Pcdh7	6.7484055553313	3.37122665427243e-12	No	No
A0A0G2JDG2	Igkj2	2.82460397595503	0.0038947792209011	No	No
A0A0U1RNF2	Lcmt1	2.31512163741998	0.0031773660566969	No	No
A0A140LIF8	Irgm2	7.11358171495228	5.82213553471761e-11	No	No
A0A1L1SQU7	Fat1	6.35376653515755	4.1663634858104597e-13	No	No
A0A1L1STD6	Inafm2	3.68814490728809	2.46407226421807e-09	No	No
A0A286YCV9	Kif13b	10.1978508916206	1.62616270907489e-17	No	No
A0A286YCX6	Trappc8	4.78741130304638	4.96055581210655e-05	No	No
A0A338P6S8	Abi3bp	1.47894018136019	0.0004616239326156	No	No
A0A3B2WD20	Esp6	10.0064333908371	2.85859060374336e-17	No	No
A0A5F8MPH8	Tnxb	2.31543480966081	7.49221555078353e-07	No	No
A1E5L0	Cytl1	1.93266840059162	1.17768984227506e-05	No	No
A1KXC4	Fcmr	3.92427320483769	3.9554381180294093e-11	No	No
A1L3T7	Ripor3	7.53335279005304	1.0073005351836901e-15	No	No
A2A5R2	Arfgef2	6.51552317626524	2.57614387331202e-06	No	No
A2A8Z1	Osbpl9	6.27263683768467	6.589086426515431e-10	No	No
A2ADY9	Ddi2	2.37295459263966	4.79140764339687e-05	No	No
A2AED3	Fndc7	9.12594547683995	1.25057933919284e-22	No	No
A2AGT5	Ckap5	7.60515500640217	1.40134396953809e-09	No	No
A2AHC3	Camsap1	1.98751941604254	0.000850313969055	No	No
A2AJ15	Man1b1	5.58158256017891	3.1307405440630203e-19	No	No
A2AJ76	Hmcn2	3.0106584788635	1.56355490885233e-06	No	No
A2AJI0	Map7d1	2.72584171805038	5.7508947784356e-13	No	No
A2AJW4	Ppp1r3d	7.82183463855089	6.09118057662437e-21	No	No
A2AKG8	Focad	1.41738810514606	0.0014664160802743	No	No
A2AN08	Ubr4	4.15284823634247	6.02892267651259e-07	No	No
A2AQ07	Tubb1	3.33527314604433	5.38154337987478e-12	No	No
A2ASQ1	Agrn	4.42974784719467	4.33176434071044e-08	No	No
A2ATD1	Ism1	6.99936386489374	9.05788863831648e-17	No	No
A2AVA0	Svep1	4.75336299637949	1.3597837463671e-12	No	No
A2AWA9	Rabgap1	9.63456484426733	7.0480798653518e-15	No	No
A2BHD2	Gm14743	1.15296637571896	0.009136357408464	No	No
A2CG49	Kalrn	5.45368395834507	3.4095750873531502e-09	No	No
